,Column 1,Column 2,xyz 1,xyz 2,Grouping Time
0,0,1,"[0.779, 0.151, 0.608]","[-0.11900000000000001, 0.606, 0.787]",1585166798.2683532
1,0,2,"[0.779, 0.151, 0.608]","[-0.218, -0.696, 0.684]",1585166798.2683532
2,0,3,"[0.779, 0.151, 0.608]","[-0.675, 0.08199999999999999, 0.7340000000000001]",1585166798.2683532
3,1,2,"[-0.11900000000000001, 0.606, 0.787]","[-0.218, -0.696, 0.684]",1585166798.2683532
4,1,3,"[-0.11900000000000001, 0.606, 0.787]","[-0.675, 0.08199999999999999, 0.7340000000000001]",1585166798.2683532
5,2,3,"[-0.218, -0.696, 0.684]","[-0.675, 0.08199999999999999, 0.7340000000000001]",1585166798.2683532
6,0,1,"[0.779, 0.151, 0.608]","[-0.12, 0.605, 0.787]",1585166798.2763531
7,0,2,"[0.779, 0.151, 0.608]","[-0.218, -0.696, 0.684]",1585166798.2763531
8,0,3,"[0.779, 0.151, 0.608]","[-0.6729999999999999, 0.083, 0.735]",1585166798.2763531
9,1,2,"[-0.12, 0.605, 0.787]","[-0.218, -0.696, 0.684]",1585166798.2763531
10,1,3,"[-0.12, 0.605, 0.787]","[-0.6729999999999999, 0.083, 0.735]",1585166798.2763531
11,2,3,"[-0.218, -0.696, 0.684]","[-0.6729999999999999, 0.083, 0.735]",1585166798.2763531
12,0,1,"[0.779, 0.151, 0.608]","[-0.12, 0.605, 0.787]",1585166798.284353
13,0,2,"[0.779, 0.151, 0.608]","[-0.218, -0.6970000000000001, 0.6829999999999999]",1585166798.284353
14,0,3,"[0.779, 0.151, 0.608]","[-0.674, 0.08199999999999999, 0.735]",1585166798.284353
15,1,2,"[-0.12, 0.605, 0.787]","[-0.218, -0.6970000000000001, 0.6829999999999999]",1585166798.284353
16,1,3,"[-0.12, 0.605, 0.787]","[-0.674, 0.08199999999999999, 0.735]",1585166798.284353
17,2,3,"[-0.218, -0.6970000000000001, 0.6829999999999999]","[-0.674, 0.08199999999999999, 0.735]",1585166798.284353
18,0,1,"[0.779, 0.151, 0.608]","[-0.12, 0.605, 0.787]",1585166798.292353
19,0,2,"[0.779, 0.151, 0.608]","[-0.218, -0.6970000000000001, 0.6829999999999999]",1585166798.292353
20,0,3,"[0.779, 0.151, 0.608]","[-0.672, 0.083, 0.735]",1585166798.292353
21,1,2,"[-0.12, 0.605, 0.787]","[-0.218, -0.6970000000000001, 0.6829999999999999]",1585166798.292353
22,1,3,"[-0.12, 0.605, 0.787]","[-0.672, 0.083, 0.735]",1585166798.292353
23,2,3,"[-0.218, -0.6970000000000001, 0.6829999999999999]","[-0.672, 0.083, 0.735]",1585166798.292353
24,0,1,"[0.779, 0.151, 0.608]","[-0.12, 0.605, 0.787]",1585166798.3003528
25,0,2,"[0.779, 0.151, 0.608]","[-0.218, -0.6970000000000001, 0.6829999999999999]",1585166798.3003528
26,0,3,"[0.779, 0.151, 0.608]","[-0.6709999999999999, 0.079, 0.736]",1585166798.3003528
27,1,2,"[-0.12, 0.605, 0.787]","[-0.218, -0.6970000000000001, 0.6829999999999999]",1585166798.3003528
28,1,3,"[-0.12, 0.605, 0.787]","[-0.6709999999999999, 0.079, 0.736]",1585166798.3003528
29,2,3,"[-0.218, -0.6970000000000001, 0.6829999999999999]","[-0.6709999999999999, 0.079, 0.736]",1585166798.3003528
30,0,1,"[0.779, 0.151, 0.609]","[-0.12, 0.605, 0.787]",1585166798.3083527
31,0,2,"[0.779, 0.151, 0.609]","[-0.218, -0.6970000000000001, 0.6829999999999999]",1585166798.3083527
32,0,3,"[0.779, 0.151, 0.609]","[-0.6709999999999999, 0.079, 0.737]",1585166798.3083527
33,1,2,"[-0.12, 0.605, 0.787]","[-0.218, -0.6970000000000001, 0.6829999999999999]",1585166798.3083527
34,1,3,"[-0.12, 0.605, 0.787]","[-0.6709999999999999, 0.079, 0.737]",1585166798.3083527
35,2,3,"[-0.218, -0.6970000000000001, 0.6829999999999999]","[-0.6709999999999999, 0.079, 0.737]",1585166798.3083527
36,0,1,"[0.779, 0.15, 0.608]","[-0.12, 0.605, 0.787]",1585166798.3163526
37,0,2,"[0.779, 0.15, 0.608]","[-0.217, -0.6970000000000001, 0.6829999999999999]",1585166798.3163526
38,0,3,"[0.779, 0.15, 0.608]","[-0.6709999999999999, 0.079, 0.737]",1585166798.3163526
39,1,2,"[-0.12, 0.605, 0.787]","[-0.217, -0.6970000000000001, 0.6829999999999999]",1585166798.3163526
40,1,3,"[-0.12, 0.605, 0.787]","[-0.6709999999999999, 0.079, 0.737]",1585166798.3163526
41,2,3,"[-0.217, -0.6970000000000001, 0.6829999999999999]","[-0.6709999999999999, 0.079, 0.737]",1585166798.3163526
42,0,1,"[0.779, 0.15, 0.609]","[-0.121, 0.605, 0.787]",1585166798.3243525
43,0,2,"[0.779, 0.15, 0.609]","[-0.218, -0.6970000000000001, 0.6829999999999999]",1585166798.3243525
44,0,3,"[0.779, 0.15, 0.609]","[-0.6709999999999999, 0.078, 0.737]",1585166798.3243525
45,1,2,"[-0.121, 0.605, 0.787]","[-0.218, -0.6970000000000001, 0.6829999999999999]",1585166798.3243525
46,1,3,"[-0.121, 0.605, 0.787]","[-0.6709999999999999, 0.078, 0.737]",1585166798.3243525
47,2,3,"[-0.218, -0.6970000000000001, 0.6829999999999999]","[-0.6709999999999999, 0.078, 0.737]",1585166798.3243525
48,0,1,"[0.778, 0.14400000000000002, 0.609]","[-0.12, 0.604, 0.7879999999999999]",1585166798.3323524
49,0,2,"[0.778, 0.14400000000000002, 0.609]","[-0.21899999999999997, -0.696, 0.684]",1585166798.3323524
