,Activity,Microphone Number,Source ID,Time,Time In Seconds,Timestamp,X,Y,Z
0,0.983,0,3,"Wednesday, January 08, 2020 08:21:06",1578543666.1428447,7895.0,0.0,0.069,0.998
0,0.925,0,3,"Wednesday, January 08, 2020 08:21:06",1578543666.1508434,7896.0,0.0,0.069,0.998
0,0.915,0,3,"Wednesday, January 08, 2020 08:21:06",1578543666.1588423,7897.0,0.0,0.069,0.998
0,0.908,0,3,"Wednesday, January 08, 2020 08:21:06",1578543666.166841,7898.0,0.0,0.069,0.998
0,0.544,0,3,"Wednesday, January 08, 2020 08:21:06",1578543666.17484,7899.0,0.0,0.069,0.998
0,0.211,0,3,"Wednesday, January 08, 2020 08:21:06",1578543666.1828387,7900.0,0.0,0.069,0.998
0,0.952,0,3,"Wednesday, January 08, 2020 08:21:06",1578543666.1908376,7901.0,0.0,0.069,0.998
0,0.804,0,3,"Wednesday, January 08, 2020 08:21:06",1578543666.1988366,7902.0,0.0,0.069,0.998
0,0.755,0,3,"Wednesday, January 08, 2020 08:21:06",1578543666.2068353,7903.0,0.0,0.069,0.998
0,0.377,0,3,"Wednesday, January 08, 2020 08:21:06",1578543666.2148342,7904.0,0.0,0.069,0.998
0,0.651,0,3,"Wednesday, January 08, 2020 08:21:06",1578543666.222833,7905.0,0.0,0.069,0.998
0,0.694,0,3,"Wednesday, January 08, 2020 08:21:06",1578543666.2308319,7906.0,0.0,0.069,0.998
0,0.942,0,3,"Wednesday, January 08, 2020 08:21:06",1578543666.2388306,7907.0,0.0,0.069,0.998
0,0.893,0,3,"Wednesday, January 08, 2020 08:21:06",1578543666.2468295,7908.0,0.0,0.069,0.998
0,0.858,0,3,"Wednesday, January 08, 2020 08:21:06",1578543666.2548285,7909.0,0.0,0.069,0.998
0,0.868,0,3,"Wednesday, January 08, 2020 08:21:06",1578543666.2628272,7910.0,0.0,0.069,0.998
0,0.885,0,3,"Wednesday, January 08, 2020 08:21:06",1578543666.270826,7911.0,0.0,0.069,0.998
0,0.853,0,3,"Wednesday, January 08, 2020 08:21:06",1578543666.2788248,7912.0,0.0,0.069,0.998
0,0.865,0,3,"Wednesday, January 08, 2020 08:21:06",1578543666.2868237,7913.0,0.0,0.069,0.998
0,0.946,0,3,"Wednesday, January 08, 2020 08:21:06",1578543666.2948225,7914.0,0.0,0.069,0.998
0,0.849,0,3,"Wednesday, January 08, 2020 08:21:06",1578543666.3028214,7915.0,0.0,0.069,0.998
0,0.977,0,3,"Wednesday, January 08, 2020 08:21:06",1578543666.3108203,7916.0,0.0,0.069,0.998
0,0.925,0,3,"Wednesday, January 08, 2020 08:21:06",1578543666.318819,7917.0,0.0,0.069,0.998
0,0.841,0,3,"Wednesday, January 08, 2020 08:21:06",1578543666.326818,7918.0,0.0,0.069,0.998
0,0.906,0,3,"Wednesday, January 08, 2020 08:21:06",1578543666.3348167,7919.0,0.0,0.069,0.998
0,0.966,0,3,"Wednesday, January 08, 2020 08:21:06",1578543666.3428156,7920.0,0.0,0.069,0.998
0,0.984,0,3,"Wednesday, January 08, 2020 08:21:06",1578543666.3508143,7921.0,0.0,0.069,0.998
0,0.856,0,3,"Wednesday, January 08, 2020 08:21:06",1578543666.3588133,7922.0,0.0,0.069,0.998
0,0.909,0,3,"Wednesday, January 08, 2020 08:21:06",1578543666.3668122,7923.0,0.0,0.069,0.998
0,0.896,0,3,"Wednesday, January 08, 2020 08:21:06",1578543666.374811,7924.0,0.0,0.069,0.998
0,0.968,0,3,"Wednesday, January 08, 2020 08:21:06",1578543666.3828099,7925.0,0.0,0.069,0.998
0,0.944,0,3,"Wednesday, January 08, 2020 08:21:06",1578543666.3908086,7926.0,0.0,0.069,0.998
0,0.463,0,3,"Wednesday, January 08, 2020 08:21:06",1578543666.3988075,7927.0,0.0,0.069,0.998
0,0.614,0,3,"Wednesday, January 08, 2020 08:21:06",1578543666.4068062,7928.0,0.0,0.069,0.998
0,0.952,0,3,"Wednesday, January 08, 2020 08:21:06",1578543666.4148052,7929.0,0.0,0.069,0.998
0,0.901,0,3,"Wednesday, January 08, 2020 08:21:06",1578543666.422804,7930.0,0.0,0.069,0.998
0,0.919,0,3,"Wednesday, January 08, 2020 08:21:06",1578543666.4308028,7931.0,0.0,0.069,0.998
0,0.791,0,3,"Wednesday, January 08, 2020 08:21:06",1578543666.4388018,7932.0,0.0,0.069,0.998
0,0.946,0,3,"Wednesday, January 08, 2020 08:21:06",1578543666.4468005,7933.0,0.0,0.069,0.998
0,0.775,0,3,"Wednesday, January 08, 2020 08:21:06",1578543666.4547994,7934.0,0.0,0.069,0.998
0,0.695,0,3,"Wednesday, January 08, 2020 08:21:06",1578543666.462798,7935.0,0.0,0.069,0.998
0,0.969,0,3,"Wednesday, January 08, 2020 08:21:06",1578543666.470797,7936.0,0.0,0.069,0.998
